,,,,,,,,83,101,,,,,,185,203,,,,,,303,329,,
,,,,,,,66,84,102,123,,,,164,186,204,221,,,,278,304,330,347,
,,,,,,62,67,85,103,124,144,,156,165,187,205,222,246,,266,279,305,331,348,364
,,,,,,63,68,86,104,125,145,,157,166,188,206,223,247,,267,280,306,332,349,365
,,,,,,64,69,87,105,126,146,,158,167,189,207,224,248,,268,281,307,333,350,366
,,,,,,65,70,88,106,127,147,,159,168,190,208,225,249,,269,282,308,334,351,367
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,71,89,107,128,,,,169,191,209,226,,,,283,309,335,352,
,,,,,,,72,90,108,129,,,,170,192,210,227,,,,284,310,336,353,
,,,,,,,73,91,109,130,,,,171,193,211,228,,,,285,311,337,354,
,,,,,,,74,92,110,131,,,,172,194,212,229,,,,286,312,338,355,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,75,93,111,132,,,,173,195,213,230,,,,287,313,339,356,
,,,,,,,76,94,112,133,,,,174,196,214,231,,,,288,314,340,357,
,,,,,,,77,95,113,134,,,,175,197,215,232,,,,289,315,341,358,
,,17,31,,,,78,96,114,135,,,,176,198,216,233,,,,290,316,342,359,
,4,18,32,45,,,,,,,,,,,,,,,,,,,,,
0,5,19,33,46,58,,79,97,115,136,,,,177,199,217,234,,,,291,317,343,360,
1,6,20,34,47,59,,80,98,116,137,,,,178,200,218,235,,,,292,318,344,361,
2,7,21,35,48,60,,81,99,117,138,,,,179,201,219,236,,,,293,319,345,362,
3,8,22,36,49,61,,82,100,118,139,,,,180,202,220,237,,,,294,320,346,363,
,,,,,,,,,,,,,,,,,,,,,,,,,
,9,23,37,50,,,,,119,140,148,152,160,181,,,238,250,258,270,295,321,,,
,10,24,38,51,,,,,120,141,149,153,161,182,,,239,251,259,271,296,322,,,
,11,25,39,52,,,,,121,142,150,154,162,183,,,240,252,260,272,297,323,,,
,12,26,40,53,,,,,122,143,151,155,163,184,,,241,253,261,273,298,324,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,13,27,41,54,,,,,,,,,,,,,242,254,262,274,299,325,,,
,14,28,42,55,,,,,,,,,,,,,243,255,263,275,300,326,,,
,15,29,43,56,,,,,,,,,,,,,244,256,264,276,301,327,,,
,16,30,44,57,,,,,,,,,,,,,245,257,265,277,302,328,,,
